COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,date
Ireland,JAN2010,January 2010,2010,1,January,Hydro,134.754,1,768.031,,0.0509798817982822,2010-01-01
Ireland,JAN2010,January 2010,2010,1,January,Wind,247.295,2,2814.658,,0.093556182891092,2010-01-01
Ireland,JAN2010,January 2010,2010,1,January,Solar,0.015,3,0.476,,5.674772006576683e-06,2010-01-01
Italy,JAN2010,January 2010,2010,1,January,Hydro,3806.303,1,53795.241,,0.1497597876617752,2010-01-01
Italy,JAN2010,January 2010,2010,1,January,Wind,909.695,2,9048.0,,0.0357921400469112,2010-01-01
Italy,JAN2010,January 2010,2010,1,January,Solar,51.535,3,1874.003,,0.0020276553540665,2010-01-01
Italy,JAN2010,January 2010,2010,1,January,Geothermal,431.244,4,5045.999,,0.0169673853790448,2010-01-01
Japan,JAN2010,January 2010,2010,1,January,Hydro,5135.247,1,94649.965,,0.0529256391063877,2010-01-01
Japan,JAN2010,January 2010,2010,1,January,Wind,330.754,2,3418.734,,0.0034088655982845,2010-01-01
Japan,JAN2010,January 2010,2010,1,January,Solar,172.397,3,1582.15,,0.0017767833572608,2010-01-01
Japan,JAN2010,January 2010,2010,1,January,Geothermal,217.971,4,2456.759,,0.0022464848295823,2010-01-01
Korea,JAN2010,January 2010,2010,1,January,Hydro,395.799,1,6406.001,,0.0088916063495754,2010-01-01
Korea,JAN2010,January 2010,2010,1,January,Wind,68.083,2,816.996,,0.0015294814668509,2010-01-01
Korea,JAN2010,January 2010,2010,1,January,Solar,53.356,3,772.001,,0.0011986400884993,2010-01-01
Latvia,JAN2010,January 2010,2010,1,January,Hydro,240.207,1,3487.998,,0.3578971991858895,2010-01-01
Latvia,JAN2010,January 2010,2010,1,January,Wind,4.145,2,48.703,,0.0061758562016323,2010-01-01
Latvia,JAN2010,January 2010,2010,1,January,Solar,0.0,3,0.0,,0.0,2010-01-01
Lithuania,JAN2010,January 2010,2010,1,January,Hydro,120.466,1,1274.999,,0.1462601470056165,2010-01-01
Lithuania,JAN2010,January 2010,2010,1,January,Wind,18.583,2,222.996,,0.0225619868826504,2010-01-01
Luxembourg,JAN2010,January 2010,2010,1,January,Hydro,121.16,1,1457.23,,0.3107224373605519,2010-01-01
Luxembourg,JAN2010,January 2010,2010,1,January,Wind,3.012,2,55.086,,0.0077244633652193,2010-01-01
Luxembourg,JAN2010,January 2010,2010,1,January,Solar,0.59,3,21.147,,0.0015130920934526,2010-01-01
Luxembourg,JAN2010,January 2010,2010,1,January,Geothermal,0.0,4,0.0,,0.0,2010-01-01
Mexico,JAN2010,January 2010,2010,1,January,Hydro,1348.316,1,36790.001,,0.0670793000452878,2010-01-01
Mexico,JAN2010,January 2010,2010,1,January,Wind,103.06,2,1236.72,,0.0051272792599563,2010-01-01
Mexico,JAN2010,January 2010,2010,1,January,Solar,2.529,3,30.999,,0.0001258188360996,2010-01-01
Mexico,JAN2010,January 2010,2010,1,January,Geothermal,560.788,4,6294.0,,0.027899443834974,2010-01-01
Netherlands,JAN2010,January 2010,2010,1,January,Hydro,11.0,1,105.0,,0.0009662145514546,2010-01-01
Netherlands,JAN2010,January 2010,2010,1,January,Wind,289.931,2,3993.137,,0.0254668682834364,2010-01-01
Netherlands,JAN2010,January 2010,2010,1,January,Solar,2.944,3,55.871,,0.0002585941490438,2010-01-01
Netherlands,JAN2010,January 2010,2010,1,January,Geothermal,0.0,4,0.0,,0.0,2010-01-01
New Zealand,JAN2010,January 2010,2010,1,January,Hydro,2091.803,1,24479.241,,0.6161849200165549,2010-01-01
New Zealand,JAN2010,January 2010,2010,1,January,Wind,121.419,2,1620.804,,0.0357665405410978,2010-01-01
New Zealand,JAN2010,January 2010,2010,1,January,Solar,0.411,3,3.79,,0.000121068763228,2010-01-01
New Zealand,JAN2010,January 2010,2010,1,January,Geothermal,369.601,4,5534.723,,0.1088738101164587,2010-01-01
Norway,JAN2010,January 2010,2010,1,January,Hydro,14181.489,1,116670.001,,0.9630051324549856,2010-01-01
Norway,JAN2010,January 2010,2010,1,January,Wind,92.526,2,878.998,,0.0062830505940194,2010-01-01
OECD Americas,JAN2010,January 2010,2010,1,January,Hydro,65795.183,1,690682.002,,0.1463795654223377,2010-01-01
OECD Americas,JAN2010,January 2010,2010,1,January,Wind,7720.556,2,104857.722,,0.0171765102028642,2010-01-01
OECD Americas,JAN2010,January 2010,2010,1,January,Solar,33.295,3,4131.997,,7.407392773323139e-05,2010-01-01
OECD Americas,JAN2010,January 2010,2010,1,January,Geothermal,1894.166,4,21513.001,,0.0042140956719851,2010-01-01
OECD Americas,JAN2010,January 2010,2010,1,January,Other renewables,1.716,5,28.0,,3.817716173306053e-06,2010-01-01
OECD Asia Oceania,JAN2010,January 2010,2010,1,January,Hydro,8613.577,1,142007.098,,0.0519906952728039,2010-01-01
OECD Asia Oceania,JAN2010,January 2010,2010,1,January,Wind,929.725,2,10797.443,,0.0056117277598502,2010-01-01
OECD Asia Oceania,JAN2010,January 2010,2010,1,January,Solar,275.38,3,3266.179,,0.001662166329299,2010-01-01
OECD Asia Oceania,JAN2010,January 2010,2010,1,January,Geothermal,587.655,4,7992.478,,0.0035470272141921,2010-01-01
OECD Europe,JAN2010,January 2010,2010,1,January,Hydro,57022.65,1,585389.018,,0.1693409533814913,2010-01-01
OECD Europe,JAN2010,January 2010,2010,1,January,Wind,13034.602,2,150678.962,,0.0387090380687024,2010-01-01
OECD Europe,JAN2010,January 2010,2010,1,January,Solar,820.775,3,23227.303,,0.0024374668839784,2010-01-01
OECD Europe,JAN2010,January 2010,2010,1,January,Geothermal,875.08,4,10042.333,,0.0025987371945196,2010-01-01
OECD Europe,JAN2010,January 2010,2010,1,January,Other renewables,39.334,5,472.008,,0.0001168107245157,2010-01-01
OECD Total,JAN2010,January 2010,2010,1,January,Hydro,131431.41,1,1418078.118,,0.1380739365233869,2010-01-01
OECD Total,JAN2010,January 2010,2010,1,January,Wind,21684.883,2,266334.127,,0.0227808341922153,2010-01-01
OECD Total,JAN2010,January 2010,2010,1,January,Solar,1129.45,3,30625.479,,0.0011865322574439,2010-01-01
OECD Total,JAN2010,January 2010,2010,1,January,Geothermal,3356.901,4,39547.812,,0.0035265583439247,2010-01-01
OECD Total,JAN2010,January 2010,2010,1,January,Other renewables,41.05,5,500.008,,4.312466170974681e-05,2010-01-01
Poland,JAN2010,January 2010,2010,1,January,Hydro,265.999,1,3460.0,,0.0197298381620563,2010-01-01
Poland,JAN2010,January 2010,2010,1,January,Wind,100.756,2,1664.001,,0.0074733347638755,2010-01-01
Poland,JAN2010,January 2010,2010,1,January,Solar,0.0,3,0.0,,0.0,2010-01-01
Poland,JAN2010,January 2010,2010,1,January,Geothermal,0.0,4,0.0,,0.0,2010-01-01
Portugal,JAN2010,January 2010,2010,1,January,Hydro,2583.687,1,16345.394,,0.4907158196583224,2010-01-01
Portugal,JAN2010,January 2010,2010,1,January,Wind,983.275,2,9099.577,,0.1867519546967325,2010-01-01
Portugal,JAN2010,January 2010,2010,1,January,Solar,8.753,3,211.33,,0.0016624442393638,2010-01-01
Portugal,JAN2010,January 2010,2010,1,January,Geothermal,14.5,4,174.0,,0.0027539633806438,2010-01-01
Republic of Turkiye,JAN2010,January 2010,2010,1,January,Hydro,4186.449,1,51423.001,,0.2487374925671946,2010-01-01
Republic of Turkiye,JAN2010,January 2010,2010,1,January,Wind,240.631,2,2908.0,,0.0142970693238915,2010-01-01
Republic of Turkiye,JAN2010,January 2010,2010,1,January,Solar,0.0,3,0.0,,0.0,2010-01-01
Republic of Turkiye,JAN2010,January 2010,2010,1,January,Geothermal,45.985,4,567.002,,0.0027321946584569,2010-01-01
Republic of Turkiye,JAN2010,January 2010,2010,1,January,Other renewables,0.0,5,0.0,,0.0,2010-01-01
Slovak Republic,JAN2010,January 2010,2010,1,January,Hydro,368.529,1,5578.003,,0.1570730368374415,2010-01-01
Slovak Republic,JAN2010,January 2010,2010,1,January,Wind,0.5,2,6.0,,0.0002131081093176,2010-01-01
Slovak Republic,JAN2010,January 2010,2010,1,January,Solar,0.582,3,17.0,,0.0002480578392457,2010-01-01
Slovenia,JAN2010,January 2010,2010,1,January,Hydro,313.005,1,4635.999,,0.2289433955639817,2010-01-01
Slovenia,JAN2010,January 2010,2010,1,January,Wind,0.0,2,0.0,,0.0,2010-01-01
Slovenia,JAN2010,January 2010,2010,1,January,Solar,0.31,3,12.859,,0.0002267454277881,2010-01-01
Spain,JAN2010,January 2010,2010,1,January,Hydro,5681.848,1,44728.0,,0.2151143979592586,2010-01-01
Spain,JAN2010,January 2010,2010,1,January,Wind,3908.778,2,43191.999,,0.1479860823848851,2010-01-01
Spain,JAN2010,January 2010,2010,1,January,Solar,273.602,3,7117.0,,0.0103585540321474,2010-01-01
Sweden,JAN2010,January 2010,2010,1,January,Hydro,7274.575,1,66381.998,,0.4935744722888728,2010-01-01
Sweden,JAN2010,January 2010,2010,1,January,Wind,254.02,2,3487.0,,0.0172350669902804,2010-01-01
Sweden,JAN2010,January 2010,2010,1,January,Solar,0.158,3,8.6,,1.072018181428357e-05,2010-01-01
Switzerland,JAN2010,January 2010,2010,1,January,Hydro,2804.401,1,37450.0,,0.5064295985638525,2010-01-01
Switzerland,JAN2010,January 2010,2010,1,January,Wind,3.083,2,36.996,,0.0005567400854486,2010-01-01
